Timestamp,How old are you?,What industry is your employer in?,What is the functional area of your job (this might be different from your company's industry)?,Job title,"If your job title needs additional context, please clarify here:","What is your annual salary? This should be your GROSS (pre-tax) income. (You'll indicate the currency in a later question.) If you are part-time or hourly, please enter an annualized equivalent -- what you would earn if you worked the job 40 hours a week, 52 weeks a year.","How much additional monetary compensation do you get, if any (for example, bonuses or overtime in an average year)? Only include monetary compensation here, not the value of benefits, tuition reimbursement, etc. If your bonus or overtime varies from year to year, use the most recent figures.",Please indicate the currency,"If ""Other,"" please indicate the currency here: ","If your income needs additional context, please provide it here:",What country do you work in? (Countries listed had by far the largest representation last year. Please write in your country if it's not listed.),"If you're in the U.S., what state do you work in?",What city/region do you work in?,Are you remote or on-site?,Is your job unionized?,How many years of professional work experience do you have overall?,How many years of professional work experience do you have in your field?,What is your highest level of education completed?,What is your gender?,What is your race? (Choose all that apply.),,,,,,
4-10-2024 7:08:58,45-54,Hospitality & Events,Hospitality & Events,Operation Manager,,75000,,USD,,,United States,Pennsylvania,Scranton,On-site,No,21-30 years,11-20 years,Trade Specific Schooling,Woman,White,,,,,,
4-10-2024 7:09:22,35-44,Education (Higher Education),Nonprofits,Strategic Projects Manager,Managing a portfolio of strategic projects for a nonprofit,42000,,GBP,,,United Kingdom,,Cambridgeshire,Hybrid,No,5-7 years,5-7 years,Doctorate,Woman,White,,,,,,
4-10-2024 7:10:36,35-44,Utilities & Telecommunications,Supply Chain Management,Principle Contract Manager,,78000,5000,GBP,,,United Kingdom,,"Reading, Berkshire",Hybrid,No,11-20 years,5-7 years,College degree,Woman,White,,,,,,
4-10-2024 7:10:40,35-44,Education (Higher Education),Administration,Assistant Director ,,84000,,USD,,,United States,Massachusetts,Boston,Hybrid,No,8-10 years,2-4 years,Master's degree,Woman,Asian or Asian American,,,,,,
4-10-2024 7:11:06,35-44,Health care,"Accounting, Banking & Finance",Procurement senior manager ,,143000,22000,USD,,,United States,Massachusetts,Boston ,Hybrid,No,11-20 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",,,,,,
4-10-2024 7:11:20,35-44,Supply Chain Management,Supply Chain Management,Department supervisor,,60500,,USD,,,United States,Arizona,Phoenix,On-site,No,21-30 years,5-7 years,Associate's degree,Man,White,,,,,,
4-10-2024 7:11:27,35-44,Business or Consulting,Administration,Executive Assistant,,54074,5513,GBP,,,United Kingdom,,London,Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:13:07,35-44,Computing or Tech,Computing or Tech,IT Executive,,230000,200000,USD,,,United States,Ohio,Cincinnati,Fully remote,No,11-20 years,11-20 years,Master's degree,Man,White,,,,,,
4-10-2024 7:13:17,35-44,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Information Manager ,"Role is as a subject librarian, salary scale equivalent to Senior Lecturer ",52683,0,GBP,,I am part time at 0.6,United Kingdom,,Hertfordshire ,Hybrid,Yes,21-30 years,11-20 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:13:39,55-64,Manufacturing,"Accounting, Banking & Finance",Director of Finance / HR,I head both the Finance & HR departments.,90200,7200,USD,,,United States,Michigan,Southwest Michigan,On-site,No,41 years or more,41 years or more,Associate's degree,Woman,Another option not listed here or prefer not to answer,,,,,,
4-10-2024 7:14:19,45-54,Health care,Computing or Tech,Clinical Applications Supervisor,IT supervisor for team working with electronic medical record,131000,1200,USD,,,United States,Wisconsin,Madison,Fully remote,No,31-40 years,5-7 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:14:58,35-44,Aerospace & Defense,Engineering,Aerospace Engineer,,220000,,USD,,,United States,California,San Francisco ,Hybrid,No,8-10 years,11-20 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:15:17,35-44,Education (Primary/Secondary),Education (Primary/Secondary),Teacher,Elementary K-8,107000,,CAD,,,Canada,,Ontario,On-site,Yes,11-20 years,11-20 years,College degree,Woman,White,,,,,,
4-10-2024 7:15:51,25-34,Government & Public Administration,Communications,Communications and Operations Specialist,"Internal & External Affairs, as well as Strategic Planning",84000,1500,USD,,,United States,District of Columbia,D.C. ,Hybrid,No,5-7 years,5-7 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:16:13,35-44,Health care,Administration,"Startup Cofounder, Chief Clinical Officer ",,125000,,USD,,,United States,Massachusetts,Greater Boston ,Fully remote,No,11-20 years,11-20 years,Doctorate,Woman,White,,,,,,
4-10-2024 7:16:59,35-44,Nonprofits,Recruitment or HR,People Analytics Manager,,75000,6000,GBP,,,United Kingdom,,London,Hybrid,Yes,21-30 years,11-20 years,College degree,Man,White,,,,,,
4-10-2024 7:17:22,25-34,"Accounting, Banking & Finance","Accounting, Banking & Finance",Investment Manager,,52800,5000,GBP,,,United Kingdom,,Sheffield,Hybrid,No,8-10 years,2-4 years,College degree,Man,White,,,,,,
4-10-2024 7:17:37,25-34,"Accounting, Banking & Finance",Media & Digital,Senior Content Editor,,34698,0,GBP,,,United Kingdom,,London,Hybrid,No,8-10 years,5-7 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:18:12,35-44,Computing or Tech,Computing or Tech,Product Manager,Overlap with Project Manager roles/titles,145,0,USD,,,United States,Pennsylvania,Philadelphia,Fully remote,No,11-20 years,11-20 years,College degree,Man,White,,,,,,
4-10-2024 7:20:20,25-34,Law,Law,Senior associate ,,126000,,AUD,,,Australia,,Brisbane ,On-site,No,8-10 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White,,,,,,
4-10-2024 7:20:25,35-44,Media & Digital,Computing or Tech,Engineering Director,,185000,17000,USD,,,United States,Massachusetts,Boston ,Fully remote,No,11-20 years,11-20 years,College degree,Woman,White,,,,,,
4-10-2024 7:20:36,35-44,Science,Science,Clinical Laboratory Scientist,Must have certification,72000,10000,USD,,The extra money is shift differential,United States,Georgia,Atlanta,On-site,No,11-20 years,11-20 years,College degree,Woman,White,,,,,,
4-10-2024 7:22:08,25-34,Publishing,"Marketing, Advertising & PR",Associate Marketing Director ,,92500,,USD,,,United States,New York,NYC,Fully remote,No,8-10 years,8-10 years,College degree,Woman,White,,,,,,
4-10-2024 7:22:14,25-34,Government & Public Administration,Research Funding,Senior Strategy Manager,,43112,,GBP,,,United Kingdom,,Swindon,Hybrid,Yes,2-4 years,2-4 years,Doctorate,Woman,White,,,,,,
4-10-2024 7:22:58,35-44,Veterinary Care,Health care,Veterinary Assistant,,35000,0,USD,,,United States,Florida,Miami,On-site,No,11-20 years,5-7 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:22:58,25-34,Education (Higher Education),Administration,Taught Student Administration Manager,,32332,,GBP,,,United Kingdom,,York,Hybrid,No,11-20 years,8-10 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White",,,,,,
4-10-2024 7:22:58,45-54,Biotechnology & Pharma,Supply Chain Management,Manager,,126000,10000,USD,,,United States,Massachusetts,Boston,Hybrid,No,11-20 years,8-10 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:23:13,25-34,Insurance,Computing or Tech,CRM Manager,"I manage a database, systems that integrate with it, and create automated processes",43750,,GBP,,,United Kingdom,,London,Fully remote,No,8-10 years,5-7 years,College degree,Non-binary,Another option not listed here or prefer not to answer,,,,,,
4-10-2024 7:23:23,35-44,Computing or Tech,Engineering,senior software engineer in test,"Working in cloud infrastructure, almost closer to a Site Reliability Engineer",160400,40000,USD,,,United States,Wisconsin,"Madison, wi",Fully remote,No,11-20 years,11-20 years,College degree,Woman,White,,,,,,
4-10-2024 7:24:27,35-44,Science,Science,Group manager,,74700,5000,EUR,,,Germany,,Thueringen,On-site,Yes,8-10 years,8-10 years,Doctorate,Man,White,,,,,,
4-10-2024 7:24:39,45-54,Nonprofits,Nonprofits,Executive Director,,92000,0,CAD,,,Canada,,"Fredericton, New Brunswick",On-site,No,21-30 years,21-30 years,College degree,Woman,White,,,,,,
4-10-2024 7:26:00,35-44,Education (Higher Education),Education (Higher Education),Associate Professor of English,,72000,1500,USD,,,United States,Michigan,Rural South Central Michigan,On-site,No,11-20 years,8-10 years,Doctorate,Woman,White,,,,,,
4-10-2024 7:27:34,45-54,Education (Higher Education),Property or Construction,Facilities data analyst and space manager,,83000,400,USD,,,United States,New York,"Albany, NY",On-site,Yes,21-30 years,21-30 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:27:53,45-54,Entertainment,Art & Design,Designer ,,80000,,EUR,,,Germany,,Hamburg,Other/it's complicated,No,21-30 years,21-30 years,High School,Woman,White,,,,,,
4-10-2024 7:31:10,45-54,"Marketing, Advertising & PR",Nonprofits,President,,150000,0,USD,,,United States,Florida,Sarasota,Fully remote,No,21-30 years,11-20 years,College degree,Woman,White,,,,,,
4-10-2024 7:31:26,45-54,Health care,Computing or Tech,Manager of Analytics,My official title is an intermediate director level but it's meaningless and I'm functionally a people manager of analysts,145307,,USD,,"I work for an academic medical center where salaries are depressed but benefits are rich.  In the ""real world"" I'd be somewhere around 200k",United States,Michigan,Ann Arbor ,Hybrid,No,21-30 years,21-30 years,College degree,Woman,White,,,,,,
4-10-2024 7:31:40,45-54,Nonprofits,Nonprofits,Executive Director,,70000,3380,USD,,"Company does not provide healthcare, provides a stipend of $130 every pay period to help employees buy their own.",United States,Ohio,Oxford,On-site,No,21-30 years,2-4 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:32:03,25-34,Education (Higher Education),Education (Higher Education),Assistant Professor of Psychology,,63500,0,USD,,"On a 9-month contract, like almost all college professors",United States,Tennessee,Memphis,On-site,No,5-7 years,5-7 years,Doctorate,Woman,White,,,,,,
4-10-2024 7:32:27,25-34,Government & Public Administration,Government & Public Administration,Senior Policy Analyst,,108608,0,CAD,,"Salary listed above is the annual salary per the Goverment of Canada EC collective agreement, and reflects that I am an EC-06 step 1. Overtime is paid at 1.5x, but the need to do OT is sporadic in my role. As the most senior employee on my team, I act as manager when the manager is away (total of 3-4 weeks per year for vacation, could be more if she takes other forms of longer term leave) and my salary is paid at the EC-07 step 1 rate ($122,714) for those periods ",Canada,,Ottawa,Hybrid,Yes,8-10 years,8-10 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:33:05,35-44,Property or Construction,Project Management ,Project Manager ,,101100,,USD,,,United States,Rhode Island,Providence,On-site,Yes,11-20 years,11-20 years,College degree,Woman,White,,,,,,
4-10-2024 7:33:26,35-44,Education (Higher Education),Education (Higher Education),Cataloging librarian,,56000,0,USD,,,United States,Pennsylvania,Philadelphia,Hybrid,No,8-10 years,2-4 years,,Woman,White,,,,,,
4-10-2024 7:33:54,45-54,Law,"Marketing, Advertising & PR",Marketing Technology Manager ,,162000,10000,USD,,,United States,Massachusetts,Boston,Hybrid,No,21-30 years,11-20 years,College degree,Woman,White,,,,,,
4-10-2024 7:34:24,35-44,Computing or Tech,Data analysis & test development,Psychometrician,,117000,,USD,,,United States,Massachusetts,Middlesex County,Fully remote,No,8-10 years,5-7 years,Doctorate,Woman,Asian or Asian American,,,,,,
4-10-2024 7:35:03,35-44,Biotechnology & Pharma,Science,R&D Quality Manager,,91052,13000,USD,,,United States,Pennsylvania,prefer not to say,Hybrid,No,11-20 years,8-10 years,College degree,Woman,White,,,,,,
4-10-2024 7:35:38,35-44,Law,Law,Paralegal,In house IP,102000,5000,USD,,,United States,Pennsylvania,Philadelphia ,Fully remote,No,21-30 years,21-30 years,College degree,Woman,White,,,,,,
4-10-2024 7:36:24,25-34,Nonprofits,Administration,Sponsorship Coordinator,,52000,0,CAD,,,Canada,,Atlantic Canada,On-site,No,5-7 years,5-7 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:37:12,45-54,Education (Higher Education),Computing or Tech,IT Director,,130000,0,USD,,,United States,Vermont,Burlington,Hybrid,No,11-20 years,11-20 years,Master's degree,Other or prefer not to answer,White,,,,,,
4-10-2024 7:37:28,35-44,"Accounting, Banking & Finance",Data Analytics ,Senior DEI Analytics Manager,"I manage all data analysis, behavioral modeling, and data visualizations to support DEI strategy formation and initiatives. ",141000,24500,USD,,,United States,New York,Buffalo,Hybrid,No,11-20 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White,,,,,,
4-10-2024 7:38:15,25-34,Education (Higher Education),Recruitment or HR,Senior HR Advisor,,44000,0,GBP,,,United Kingdom,,Birmingham,Hybrid,Yes,8-10 years,8-10 years,Master's degree,Man,White,,,,,,
4-10-2024 7:38:58,35-44,Health care,Strategy,Strategy Director ,,204000,,USD,,,United States,New York,New York,Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:39:24,35-44,Health care,Insurance,"Director, Quality Improvement",,139800,35000,USD,,,United States,Michigan,Detroit,Fully remote,No,8-10 years,8-10 years,College degree,Woman,White,,,,,,
4-10-2024 7:41:02,25-34,Education (Higher Education),Science,Senior Research Fellow,,51474,,GBP,,,United Kingdom,,London,Hybrid,Yes,5-7 years,5-7 years,Doctorate,Woman,White,,,,,,
4-10-2024 7:41:05,55-64,Nonprofits,Computing or Tech,Senior Director of Data Strategy,,130000,0,USD,,,United States,Colorado,Denver,Fully remote,No,31-40 years,11-20 years,College degree,Woman,White,,,,,,
4-10-2024 7:41:19,35-44,Retail,Retail,Clerk,"I work part time in a record store. My job is sales, customer service, and various admin tasks such as receiving new products. ",39520,,CAD,,"I work about 10 hours a week, so the actual figure is more like 10k.",Canada,,Toronto,On-site,No,21-30 years,5-7 years,Some college,Woman,White,,,,,,
4-10-2024 7:41:58,25-34,Law,Law,Associate,Big Law,340000,20000,USD,,Bonus varies significantly from year to year based on hours worked,United States,New York,New York,Hybrid,No,8-10 years,8-10 years,"Professional degree (MD, JD, etc.)",Man,White,,,,,,
4-10-2024 7:42:56,45-54,Engineering,"Marketing, Advertising & PR",Marketing Manager,,152000,15000,USD,,,United States,Virginia,Richmond,Hybrid,No,21-30 years,21-30 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:42:56,25-34,Government & Public Administration,Government & Public Administration,Business Systems Analyst,,63000,10000,USD,,,United States,New York,Upstate NY,Hybrid,Yes,2-4 years,2-4 years,College degree,Woman,White,,,,,,
4-10-2024 7:43:10,35-44,Nonprofits,Administration,Director of Membership,,122000,0,USD,,,United States,Massachusetts,Boston,Hybrid,No,11-20 years,8-10 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:43:14,25-34,Government & Public Administration,"Accounting, Banking & Finance",Budget analyst ,,102000,,USD,,,United States,District of Columbia,Dc,Hybrid,Yes,5-7 years,2-4 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:44:14,45-54,Biotechnology & Pharma,Engineering,Staff Quality Systems Engineer,,144000,24000,USD,,,United States,Ohio,Cincinnati,Hybrid,No,21-30 years,21-30 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:44:17,55-64,Computing or Tech,Computing or Tech,Salesforce architect/Agile Scrum Master,High tech consulting firm,135000,5000,USD,,,United States,Georgia,Atlanta ,Fully remote,No,41 years or more,11-20 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:46:54,25-34,"Accounting, Banking & Finance",Administration,operational assistant,,52500,30000,EUR,,,Luxembourg,,Luxembourg,Hybrid,No,5-7 years,5-7 years,Master's degree,Woman,Middle Eastern or Northern African,,,,,,
4-10-2024 7:46:59,25-34,"Accounting, Banking & Finance",Computing or Tech,Software Developer,,65000,,AUD,,,Australia,,Sydney,Hybrid,No,8-10 years,1 year or less,College degree,Other or prefer not to answer,Asian or Asian American,,,,,,
4-10-2024 7:47:25,25-34,Education (Higher Education),Administration,Faculty Support Specialist,Faculty assistant at a higher ed institution ,59000,750,USD,,,United States,Massachusetts,Boston,Hybrid,Yes,5-7 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",,,,,,
4-10-2024 7:48:29,25-34,Education (Higher Education),Computing or Tech,Software Engineer,,89000,0,USD,,,United States,North Carolina,Triad,Hybrid,No,5-7 years,5-7 years,College degree,Woman,White,,,,,,
4-10-2024 7:48:44,25-34,Transport or Logistics,Maintenance ,Civil maintainer ,,80000,15000,CAD,,,Canada,,Niagara,On-site,Yes,8-10 years,8-10 years,College degree,Man,White,,,,,,
4-10-2024 7:49:02,35-44,Education (Higher Education),Education (Higher Education),Program Manager for Experiential Learning,,75000,0,USD,,,United States,Texas,Austin,Hybrid,No,11-20 years,8-10 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:49:11,35-44,Education (Primary/Secondary),Administration,Director of learning resources,Director of academic support,130000,,USD,,I am a 10 1/2 month employee with Summer off,United States,Massachusetts,Cambridge ,On-site,No,11-20 years,11-20 years,Master's degree,Woman,Asian or Asian American,,,,,,
4-10-2024 7:51:53,25-34,Nonprofits,"Marketing, Advertising & PR",Marking & Events Manager,,70000,,USD,,,United States,Ohio,Cleveland,Hybrid,No,8-10 years,8-10 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:51:56,55-64,Manufacturing,Health care,President and CEO ,Incorporated small business,88800,,CAD,,Taken as salary with no EI deductions until this year; now being taken as dividends since my CPP entitlement is maximized and I'm better off investing the money myself.,Canada,,"County of Dufferin, Ontario",Other/it's complicated,No,31-40 years,31-40 years,Bachelor's degree (Canada),Woman,White,,,,,,
4-10-2024 7:52:16,35-44,Health care,Administration,"Senior Executive Assistant to the Chief Diversity, Equity, and Belonging Officer",,60000,0,USD,,Hourly,United States,Ohio,Cleveland,Hybrid,No,21-30 years,11-20 years,College degree,Woman,White,,,,,,
4-10-2024 7:52:24,25-34,Government & Public Administration,Engineering,Energy Research Analyst,,176500,12000,Other,BRL,,Brazil,,RJ,Hybrid,Yes,5-7 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",,,,,,
4-10-2024 7:53:21,25-34,Computing or Tech,Engineering,Software Engineer,,110000,40000,USD,,,United States,North Carolina,Durham,Hybrid,No,8-10 years,5-7 years,College degree,Man,White,,,,,,
4-10-2024 7:53:45,45-54,Retail,Computing or Tech,data analyst,,55000,0,USD,,,United States,North Carolina,eastern North Carolina,Fully remote,No,11-20 years,1 year or less,College degree,Woman,White,,,,,,
4-10-2024 7:54:02,45-54,Nonprofits,"Galleries, Libraries, Archives & Museums",Director of Corporate Engagement ,Fundraising ,100000,0,USD,,,United States,Illinois,Chicago,Hybrid,No,21-30 years,21-30 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:54:06,55-64,Business Solutions,Training,Development Training & Project Management ,,42000,1000,USD,,,United States,South Dakota,Rapid City,On-site,No,31-40 years,11-20 years,College degree,Woman,White,,,,,,
4-10-2024 7:55:25,55-64,Health care,Health care,Physical therapist assistant,Home health ,52000,8000,USD,,,United States,Colorado,Denver,On-site,No,31-40 years,21-30 years,Associate's degree,Woman,White,,,,,,
4-10-2024 7:55:58,25-34,Health care,Administration,medical secretary,,25144,0,GBP,,,United Kingdom,,yorkshire,Hybrid,Yes,2-4 years,2-4 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:56:18,45-54,Social Work,Administration,Vocational rehabilitation assistant,,43000,0,USD,,,United States,Iowa,Des Moines,Hybrid,Yes,21-30 years,1 year or less,College degree,Woman,White,,,,,,
4-10-2024 7:57:40,35-44,Health care,Administration,Corporate Compliance Officer,,70000,5000,USD,,,United States,Michigan,Rochester Hills,On-site,No,11-20 years,11-20 years,College degree,Woman,White,,,,,,
4-10-2024 7:58:01,35-44,Engineering,"Accounting, Banking & Finance",Timesheet/Payroll Admin,,64000,6000,CAD,,,Canada,,Calgary,Hybrid,No,11-20 years,8-10 years,College degree,Woman,Asian or Asian American,,,,,,
4-10-2024 7:58:16,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Librarian,,51500,0,USD,,,United States,Michigan,Detroit,Hybrid,No,8-10 years,8-10 years,Master's degree,Woman,White,,,,,,
4-10-2024 7:59:29,25-34,Health care,Recruitment or HR,Workforce Planning Lead,,50952,0,GBP,,,United Kingdom,,East of England,Hybrid,Yes,8-10 years,5-7 years,College degree,Other or prefer not to answer,Another option not listed here or prefer not to answer,,,,,,
4-10-2024 7:59:36,45-54,"Marketing, Advertising & PR","Marketing, Advertising & PR",Marketing communications manager ,,120009,20000,USD,,,United States,Massachusetts,Andover,Hybrid,No,21-30 years,8-10 years,College degree,Woman,White,,,,,,
4-10-2024 8:00:11,35-44,Art & Design,Art & Design,Project designer,mid-level interior designer,71000,5000,USD,,,United States,Illinois,Chicago,Hybrid,No,11-20 years,5-7 years,College degree,Woman,White,,,,,,
4-10-2024 8:00:34,35-44,Education (Primary/Secondary),Education (Primary/Secondary),Teacher ,teaching overseas (Sweden),480000,2000,SEK,,,Sweden,,Stockholm,On-site,Yes,11-20 years,31-40 years,College degree,Woman,White,,,,,,
4-10-2024 8:01:02,35-44,Supply Chain Management,Computing or Tech,Product Owner,,156000,0,USD,,,United States,Texas,Dallas,Hybrid,No,11-20 years,8-10 years,College degree,Man,White,,,,,,
4-10-2024 8:01:48,25-34,,Art & Design,Video editor,,25400,1500,EUR,,,France,,Paris,,Yes,5-7 years,2-4 years,College degree,Woman,White,,,,,,
4-10-2024 8:01:52,35-44,Nonprofits,Nonprofits,Head of Charity Development,Fundraising and Account Management,52500,5000,GBP,,,United Kingdom,,Cotswolds,Hybrid,No,11-20 years,11-20 years,College degree,Woman,White,,,,,,
4-10-2024 8:03:54,25-34,Biotechnology & Pharma,Veterinary Medicine,Veterinarian,(lab animal medicine),140000,11200,USD,,,United States,Wisconsin,Madison,On-site,No,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,,,,,,
4-10-2024 8:04:13,45-54,"Accounting, Banking & Finance","Accounting, Banking & Finance","Sr. Manager, Wealth Services",Trust Operations Manager,155,7500,USD,,,United States,Texas,Houston,Hybrid,No,21-30 years,21-30 years,College degree,Man,White,,,,,,
4-10-2024 8:04:42,25-34,Government & Public Administration,Communications,Editor,,48780,7800,EUR,,,Luxembourg,,Luxembourg,Hybrid,Yes,2-4 years,2-4 years,Master's degree,Woman,White,,,,,,
4-10-2024 8:07:29,35-44,Manufacturing,Administration,Fulfillment Operations Manager,,84000,7500,USD,,,United States,Illinois,Chicago,Hybrid,No,11-20 years,5-7 years,College degree,Woman,White,,,,,,
4-10-2024 8:07:39,25-34,Manufacturing,"Accounting, Banking & Finance",Finance manager,,141000,14100,USD,,,United States,Virginia,DC,Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-10-2024 8:07:42,35-44,Media & Digital,Media & Digital,Output/bulletin editor,I am responsible for the TV news bulletin content and assigning stories to writers.,894500,65000,ZAR,,Annual bonus is split 50/50 between April and December.,South Africa,,"Johannesburg, Gauteng",On-site,No,11-20 years,11-20 years,"BA Hons (Bachelor's with optional one year postgrad degree, but below masters)",Non-binary,White,,,,,,
4-10-2024 8:08:47,35-44,Government & Public Administration,Government & Public Administration,Strategy Officer,,64000,0,EUR,,we don't pay taxes so gross is basically net (akin to international organisations),Belgium,,Brussels,Hybrid,Yes,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-10-2024 8:09:19,25-34,Retail,Retail,Digital Trading Lead,Driving online sales for a major supermarket,43500,3000,GBP,,,United Kingdom,,London,Hybrid,No,8-10 years,8-10 years,College degree,Woman,White,,,,,,
4-10-2024 8:09:35,45-54,Retail,"Marketing, Advertising & PR",Senior Data Analyst,,45300,5000,GBP,,,United Kingdom,,Manchester ,Hybrid,No,21-30 years,11-20 years,PG Diploma,Man,White,,,,,,
4-10-2024 8:09:52,45-54,"Galleries, Libraries, Archives & Museums",Education (Primary/Secondary),Museum Educator,,41000,,USD,,Part time,United States,New York,NYC,On-site,No,21-30 years,8-10 years,College degree,Woman,White,,,,,,
4-10-2024 8:10:09,55-64,"Accounting, Banking & Finance","Accounting, Banking & Finance",Director of Fonance,,70000,0,USD,,,United States,Maryland,"Bel Air, MD",Fully remote,No,31-40 years,31-40 years,College degree,Woman,White,,,,,,
4-10-2024 8:10:27,35-44,Manufacturing,Manufacturing,Packer,,35000,15000,USD,,,United States,Michigan,Coleman,On-site,No,21-30 years,2-4 years,Some college,Woman,White,,,,,,
4-10-2024 8:13:18,25-34,Education (Primary/Secondary),"Galleries, Libraries, Archives & Museums",School Librarian,,48257,500,USD,,,United States,New York,Western NY,On-site,Yes,11-20 years,2-4 years,Master's degree,Man,White,,,,,,
4-10-2024 8:13:29,35-44,Nonprofits,Law,Health Care Advocate,"Paralegal work, insurance appeals, government program appeals, advising on health care law",59850,0,USD,,,United States,Vermont,Burlington,Hybrid,No,11-20 years,8-10 years,College degree,Woman,White,,,,,,
4-10-2024 8:13:39,35-44,Publishing,Sales,Field sales rep,,70000,20000,USD,,Bonus is unlimited,United States,Massachusetts,Boston through Southern NH,Hybrid,No,11-20 years,2-4 years,Master's degree,Woman,White,,,,,,
4-10-2024 8:14:01,55-64,"Marketing, Advertising & PR",Computing or Tech,Senior full stack developer ,,150000,,USD,,,United States,New York,NYC,Fully remote,No,31-40 years,21-30 years,College degree,Man,White,,,,,,
4-10-2024 8:14:05,55-64,Science,Computing or Tech,Critical Facilities Infrastructure Manager,Scientific SuperComputing,42000,1500,GBP,,,United Kingdom,,NW England,On-site,Yes,31-40 years,11-20 years,College degree,Man,White,,,,,,
4-10-2024 8:14:45,25-34,Government & Public Administration,Law Enforcement & Security,Investigator,Financial fraud investigator,60000,0,EUR,,,the Netherlands,,"Eindhoven, the Netherlands",Hybrid,Yes,11-20 years,2-4 years,College degree,Woman,White,,,,,,
4-10-2024 8:14:46,35-44,Computing or Tech,Computing or Tech,Product manager ,,125617,25124,USD,,,United States,Massachusetts,Boston ,Fully remote,No,11-20 years,8-10 years,Some college,Non-binary,White,,,,,,
4-10-2024 8:15:23,35-44,Retail,Art & Design,Associate Director of Product Design,UX design senior manager,209000,87000,USD,,Additional comp is from vesting stock awards,United States,Massachusetts,Boston,Other/it's complicated,No,11-20 years,8-10 years,Master's degree,Woman,White,,,,,,
4-10-2024 8:15:28,55-64,Manufacturing,Computing or Tech,Network Engineer,,42000,0,GBP,,,United Kingdom,,N Ireland,On-site,No,21-30 years,21-30 years,College degree,Non-binary,White,,,,,,
4-10-2024 8:15:45,35-44,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Senior Curator ,,37000,0,GBP,,,United Kingdom,,London,Other/it's complicated,Yes,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-10-2024 8:17:07,25-34,Business or Consulting,Education (Primary/Secondary),Delivery Manager,Oversee the team that delivers our services and ensure processes are in control,92400,0,CAD,,,Canada,,Montreal ,Fully remote,No,11-20 years,2-4 years,College degree,Woman,White,,,,,,
4-10-2024 8:17:49,45-54,Computing or Tech,Administration,President ,,125000,70000,USD,,,United States,Minnesota,Southern MN,On-site,No,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-10-2024 8:18:31,35-44,Government & Public Administration,Government & Public Administration,Senior Advisor,,180359,1800,USD,,,United States,District of Columbia,"Washington, DC",Hybrid,Yes,11-20 years,11-20 years,College degree,Man,"Hispanic, Latino, or Spanish origin, White",,,,,,
4-10-2024 8:19:14,25-34,Aerospace & Defense,Engineering,process engineer III,,70000,,USD,,New job; do not yet know bonuses,United States,Florida,Tampa Bay area,On-site,No,8-10 years,1 year or less,College degree,Woman,White,,,,,,
4-10-2024 8:19:41,45-54,Health care,Health care,Registered nurse,Labor and delivery,89000,,USD,,,United States,Florida,St Petersburg,On-site,Yes,21-30 years,21-30 years,Associate's degree,Woman,White,,,,,,
4-10-2024 8:19:45,35-44,Insurance,Law,Senior Claim Counsel,,180000,20000,USD,,,United States,Illinois,Chicago,Hybrid,No,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White,,,,,,
